"X1" "X2"
"176" 1805 0.00441731913485579
"177" 1810 0.00435830637585204
"178" 1815 0.00429000620920766
"179" 1820 0.00422032370950178
"180" 1825 0.00417554280097407
"181" 1830 0.00414939669612172
"182" 1835 0.0041321183347737
"183" 1840 0.0041051402781307
"184" 1845 0.00407801828523933
"185" 1850 0.00405009084120399
"186" 1855 0.00399516667854452
"187" 1860 0.00393050726766858
"188" 1865 0.00387464970890156
"189" 1870 0.00380905082540653
"190" 1875 0.00375251385011072
"191" 1880 0.00369574618308001
"192" 1885 0.00364830026675701
"193" 1890 0.00360075823522377
"194" 1895 0.0035523152525141
"195" 1900 0.00351418444205144
"196" 1905 0.00349511379021205
"197" 1910 0.00346736669761783
"198" 1915 0.00342924034935369
"199" 1920 0.00337208878985436
"200" 1925 0.00332452486606913
